"ISLAND_ID","N_POSITIVE","N_TESTED","AGE_GROUP","EPI_YEAR_START","EPI_YEAR_END","EPI_MONTH"
2,33,243,-1,2004,2005,13
2,1,22,-1,2005,2006,13
2,21,171,-1,2006,2007,13
2,122,690,-1,2007,2008,13
1,5,25,-3,2008,2009,11
1,47,131,-2,2008,2009,11
1,0,3,1,2008,2009,11
1,1,1,10,2008,2009,11
0,8,46,-3,2008,2009,12
0,16,44,-2,2008,2009,12
0,0,28,1,2008,2009,12
0,6,15,2,2008,2009,12
0,3,3,3,2008,2009,12
0,6,20,4,2008,2009,12
0,2,6,5,2008,2009,12
0,1,2,6,2008,2009,12
0,3,5,8,2008,2009,12
1,1,12,-3,2008,2009,12
1,38,84,-2,2008,2009,12
1,0,8,1,2008,2009,12
1,0,4,2,2008,2009,12
1,1,3,4,2008,2009,12
2,2,32,-1,2008,2009,13
2,2,6,1,2008,2009,13
2,11,23,2,2008,2009,13
2,12,20,3,2008,2009,13
2,3,13,4,2008,2009,13
2,5,7,5,2008,2009,13
2,5,12,6,2008,2009,13
2,2,6,7,2008,2009,13
2,5,12,8,2008,2009,13
2,0,1,9,2008,2009,13
2,4,10,10,2008,2009,13
3,0,6,-3,2009,2010,1
3,11,22,-2,2009,2010,1
3,0,3,1,2009,2010,1
3,1,3,2,2009,2010,1
3,2,3,4,2009,2010,1
3,0,1,5,2009,2010,1
3,6,8,8,2009,2010,1
3,2,2,10,2009,2010,1
0,1,23,1,2009,2010,10
1,5,90,1,2009,2010,10
1,0,1,2,2009,2010,10
1,1,2,3,2009,2010,10
3,4,26,1,2009,2010,10
0,0,20,1,2009,2010,11
0,0,2,2,2009,2010,11
1,2,69,1,2009,2010,11
1,1,8,2,2009,2010,11
1,1,1,3,2009,2010,11
1,0,11,1,2009,2010,12
1,0,1,2,2009,2010,12
2,86,349,-1,2009,2010,13
2,5,44,1,2009,2010,13
2,6,33,2,2009,2010,13
2,10,25,3,2009,2010,13
2,9,27,4,2009,2010,13
2,4,17,5,2009,2010,13
2,6,15,6,2009,2010,13
2,3,18,7,2009,2010,13
2,4,11,8,2009,2010,13
2,9,16,9,2009,2010,13
